District,DPI,DemBase,Name,Party,Pickup,Pickup_code,YearElected,MNLEGPERC2014,MNGOVPERC2014,MNLEGDIST2014
10A,0.4612608543779103,0.397856046891677,Josh Heintzeman,Republican,Republican,0,2014,0.4653703703703704,0.4146837627912711,10A
10B,0.4861487796309264,0.43066112487258146,Dale Lueck,Republican,Republican,0,2014,0.4799797263051191,0.454320987654321,10B
11A,0.626845732704078,0.5774183820526806,Mike Sundin,DFL,Incumbent,1,2012,0.6234730066990674,0.5921624602608188,11A
11B,0.5067552935450159,0.4505991664106349,Jason Rarick,Republican,Republican,0,2014,0.46151657419263054,0.45932371250707416,11B
12A,0.5029616726484132,0.4102361413816237,Jeff Backer,Republican,Republican,0,2014,0.47926075588305206,0.47266900112766336,12A
12B,0.4211512310852713,0.32860207407184827,Paul Anderson,Republican,Incumbent,1,2008,0.3210231158528245,0.3688674764198955,12B
13A,0.4420191293923742,0.3592445485085039,Jeff Howe,Republican,Incumbent,1,2012,0.3938087497349636,0.4057628062360802,13A
13B,0.40810886923265577,0.18524956543332505,Tim O'Driscoll,Republican,Incumbent,1,2010,0.0,0.3988715897728896,13B
14A,0.4900812531868667,0.42277314871319593,Tama Theis,Republican,Incumbent,1,2013,0.4496310796566782,0.46104763317999703,14A
14B,0.5350917739258748,0.4727603382507549,Jim Knoblach,Republican,Incumbent,1,1994,0.49540392434152375,0.49325456308967464,14B
15A,0.4527331886451765,0.3943987351074728,Sondra Erickson,Republican,Incumbent,1,1998,0.3680277756811835,0.4072855112573865,15A
15B,0.3991007017823069,0.3262878848353028,Jim Newberger,Republican,Incumbent,1,2012,0.35948943293576063,0.33818726183995645,15B
16A,0.49902808761802486,0.4070308988240562,Chris Swedzinski,Republican,Incumbent,1,2010,0.3824453649478646,0.4455091533180778,16A
16B,0.4382380921933863,0.3361845788310126,Paul Torkelson,Republican,Incumbent,1,2008,0.3494727781364321,0.3927887004045709,16B
17A,0.5397816407501189,0.45739431884446236,Tim Miller,Republican,Republican,0,2014,0.4446846138730595,0.4686561316442471,17A
17B,0.5115765703460081,0.4472617252410316,Dave Baker,Republican,Republican,0,2014,0.4927319922128488,0.4668749186515684,17B
18A,0.43532030835456526,0.3603201028610682,Dean Urdahl,Republican,Incumbent,1,2002,0.3243170320404722,0.39060725499365356,18A
18B,0.4301750065973782,0.3523228958133079,Glenn Gruenhagen,Republican,Incumbent,1,2010,0.3588085724664003,0.3642693080677577,18B
19A,0.643138614577337,0.4949216671354174,Clark Johnson,DFL,Incumbent,1,2013,0.5407874700891886,0.5080922371813235,19A
19B,0.6264900868085703,0.5331358807054383,Jack Considine,DFL,DFL,2,2014,0.5596494365945269,0.5450370893677146,19B
1A,0.4898919371990694,0.3630450910544112,Dan Fabian,Republican,Incumbent,1,2010,0.3282494263733297,0.4375971349415501,1A
1B,0.526924731912411,0.44005534087847,Deb Kiel,Republican,Incumbent,1,2010,0.44338525924203676,0.46551992528019925,1B
20A,0.4249568383616724,0.37871518561811773,Bob Vogel,Republican,Republican,0,2014,0.3551626282471076,0.3863717700951972,20A
20B,0.565720225264082,0.5282079773248075,David Bly,DFL,Incumbent,1,2006,0.5796899008241374,0.5365287450498429,20B
21A,0.48941818313170515,0.4006616505058137,Tim Kelly,Republican,Incumbent,1,2008,0.37777777777777777,0.47760193133047213,21A
21B,0.4392486107391343,0.39160668459149667,Steve Drazkowski,Republican,Incumbent,1,2007,0.36380766278177123,0.39110312910133316,21B
22A,0.4243359483215103,0.3704533297825735,Joe Schomacker,Republican,Incumbent,1,2010,0.33208267958250903,0.39023070157634804,22A
22B,0.4628577475879055,0.3678819710893547,Rod Hamilton,Republican,Incumbent,1,2004,0.3372410470531556,0.43227411330444554,22B
23A,0.4199364514363906,0.3298152975751294,Bob Gunther,Republican,Incumbent,1,1995,0.3830227743271222,0.3833846565805329,23A
23B,0.4169520453031437,0.0,Tony Cornish,Republican,Incumbent,1,2002,0.0,0.45460399227301995,23B
24A,0.487954223094252,0.4157248728020121,John Petersburg,Republican,Incumbent,1,2012,0.4521203830369357,0.427361415715042,24A
24B,0.5142030826273625,0.44420557057452936,Brian Daniels,Republican,Republican,0,2014,0.49022357891263096,0.4437320180846691,24B
25A,0.42249736154356843,0.2110810941193497,Duane Quam,Republican,Incumbent,1,2010,0.0,0.3961359371742303,25A
25B,0.5625957730930587,0.4708853972504022,Kim Norton,DFL,Incumbent,1,2006,0.9490937138449672,0.4924215214424251,25B
26A,0.564500797992694,0.4958335338522211,Tina Liebling,DFL,Incumbent,1,2004,0.5522731293118698,0.5277534582384872,26A
26B,0.44270047005940105,0.3738918442578354,Nels Pierson,Republican,Republican,0,2014,0.4003105188252038,0.3887804570924888,26B
27A,0.5516050424109264,0.4381503174525192,Peggy Bennett,Republican,Republican,0,2014,0.3993105242617406,0.49837260773336806,27A
27B,0.5979730540251884,0.5445548041373396,Jeanne Poppe,DFL,Incumbent,1,2004,0.5410491257285596,0.5054094540612517,27B
28A,0.5520949601363585,0.45344747986016254,Gene Pelowski,DFL,Incumbent,1,1986,0.6270135239900078,0.5145680695178054,28A
28B,0.48535112568243477,0.41596441153278807,Greg Davids,Republican,Incumbent,1,1991,0.43955362678239307,0.4585662815256554,28B
29A,0.3742545430250103,0.18779554154469713,Joe McDonald,Republican,Incumbent,1,2010,0.0,0.3575315195753152,29A
29B,0.3934231325212868,0.1988819939484076,Marion O'Neill,Republican,Incumbent,1,2012,0.0,0.38105529885228795,29B
2A,0.5153333342511034,0.4562378764697525,Dave Hancock,Republican,Incumbent,1,2010,0.47485137933337784,0.46171786499633505,2A
2B,0.47105555154874523,0.40299687809924645,Steve Green,Republican,Incumbent,1,2012,0.42767985734860436,0.40980915247280936,2B
30A,0.4038803680482085,0.33755189880470626,Nick Zerwas,Republican,Incumbent,1,2012,0.31354876529640213,0.3697052089295936,30A
30B,0.3794174015186698,0.33524363842236077,Eric Lucero,Republican,Republican,0,2014,0.3202166879843503,0.33369565217391306,30B
31A,0.3611362192202655,0.17717953454008126,Kurt Daudt,Republican,Incumbent,1,2010,0.0,0.33107426099495313,31A
31B,0.4060195471594227,0.35974331670754917,Tom Hackbarth,Republican,Incumbent,1,1994,0.3539277427908518,0.3587385870620993,31B
32A,0.44848223404279053,0.39799783292187685,Brian Johnson,Republican,Incumbent,1,2012,0.42410970706490525,0.41136604306388985,32A
32B,0.46272505984176915,0.40646693725256955,Bob Barrett,Republican,Incumbent,1,2010,0.44188957701937015,0.41461828586292104,32B
33A,0.3624243678370488,0.2821137099394369,Jerry Hertaus,Republican,Incumbent,1,2012,0.341871921182266,0.3406208543380207,33A
33B,0.4278809247658147,0.3514440090609521,Cindy Pugh,Republican,Incumbent,1,2012,0.3869324225967191,0.40426462547840347,33B
34A,0.36491240353062854,0.16500370354232932,Joyce Peppin,Republican,Incumbent,1,2004,0.0,0.37549358341559724,34A
34B,0.45271967373470673,0.3724473567382637,Dennis Smith,Republican,Republican,0,2014,0.43536692086510814,0.4312963187948001,34B
35A,0.4528900897318775,0.36315186662707793,Abigail Whelan,Republican,Republican,0,2014,0.3986180422264875,0.4210486665662197,35A
35B,0.4200456811378709,0.37355765855548445,Peggy Scott,Republican,Incumbent,1,2008,0.33940430008547573,0.3894499839176584,35B
36A,0.47658436767109796,0.39279335724422426,Mark Uglem,Republican,Incumbent,1,2012,0.40916386983802716,0.4495840504876649,36A
36B,0.5222726206593993,0.43336964558544866,Melissa Hortman,DFL,Incumbent,1,2004,0.5189882286995515,0.4972688930374058,36B
37A,0.5397126419408357,0.4920243639306571,Jerry Newton,DFL,Incumbent,1,2008,0.5244686483624537,0.49951712354208455,37A
37B,0.4874292237150076,0.43708273466251163,Tim Sanders,Republican,Incumbent,1,2008,0.445375701479484,0.4433955517414003,37B
38A,0.45567765032085783,0.3978103374858228,Linda Runbeck,Republican,Incumbent,1,1989,0.3770757391656541,0.41678174524889855,38A
38B,0.47409840600629927,0.4319972617202251,Matt Dean,Republican,Incumbent,1,2004,0.4380369542191362,0.43059326439835943,38B
39A,0.4719182445061788,0.41660027014061274,Bob Dettmer,Republican,Incumbent,1,2006,0.4190567050265339,0.4352699530516432,39A
39B,0.4928382747538358,0.4480547660610833,Kathy Lohmer,Republican,Incumbent,1,2010,0.45369204350314823,0.4572319909245604,39B
3A,0.5967001142175923,0.5321908712151999,Rob Ecklund,DFL,DFL,2,2015,0.6554945950350373,0.5691976305869683,3A
3B,0.6114124682283493,0.5684317413274029,Mary Murphy,DFL,Incumbent,1,1976,0.6216283716283716,0.5861770524233432,3B
40A,0.7117976181088483,0.5911527216347522,Mike Nelson,DFL,Incumbent,1,2002,0.6485350897115603,0.6213645913966604,40A
40B,0.6932332900228193,0.6302241870789913,Debra Hilstrom,DFL,Incumbent,1,2000,0.6735565934611945,0.6240521096636205,40B
41A,0.5963120706960328,0.5613766670177722,Connie Bernardy,DFL,Incumbent,1,2000,0.6015721668243685,0.557974107269882,41A
41B,0.6155052746976808,0.5752832369275206,Carolyn Laine,DFL,Incumbent,1,2006,0.5737727523441809,0.5925776251094497,41B
42A,0.53175974230561,0.4941669235776668,Barb Yarusso,DFL,Incumbent,1,2012,0.5055363321799308,0.5074371687467943,42A
42B,0.575624260610912,0.5398337769615298,Jason Isaacson,DFL,Incumbent,1,2012,0.5229619081523674,0.5417414981750768,42B
43A,0.5643382501234362,0.512201906549449,Peter Fischer,DFL,Incumbent,1,2012,0.5064262654565389,0.5255964512648363,43A
43B,0.5854659879886224,0.5374570867823538,Leon Lillie,DFL,Incumbent,1,2004,0.5808184896216694,0.5236057623734132,43B
44A,0.47338748274344034,0.37825845361873756,Sarah Anderson,Republican,Incumbent,1,2006,0.4442602569415665,0.44865432891587365,44A
44B,0.5406812769955562,0.4452587834000809,Jon Applebaum,DFL,DFL,2,2014,0.5130045327001943,0.5263521411114653,44B
45A,0.5890315881093009,0.5511996198574817,Lyndon Carlson,DFL,Incumbent,1,1972,0.5651620206594029,0.5542667771333886,45A
45B,0.644561705115734,0.6086519157360192,Mike Freiberg,DFL,Incumbent,1,2012,0.6694482500934114,0.6129207056415197,45B
46A,0.6493649911918644,0.6157628863715329,Peggy Flanagan,DFL,DFL,2,2015,0.6617446333291972,0.6266241578440809,46A
46B,0.6700036579827688,0.6460087924211739,Cheryl Youakim,DFL,DFL,2,2014,0.6849561340428592,0.6441241685144125,46B
47A,0.3726909526219583,0.3185805858459927,Jim Nash,Republican,Republican,0,2014,0.32077689119811964,0.33565543978677004,47A
47B,0.33251957281078376,0.0,Joe Hoppe,Republican,Incumbent,1,2002,0.0,0.37617009895694037,47B
48A,0.5062302986410887,0.41656044478504883,Yvonne Selcer,DFL,Incumbent,1,2012,0.5003906860446945,0.49822100758005466,48A
48B,0.43666674830389635,0.34597390739686174,Jenifer Loon,Republican,Incumbent,1,2008,0.35425531914893615,0.43849874487234436,48B
49A,0.5218084010507361,0.4513456720413801,Ron Erhardt,DFL,Incumbent,1,1990,0.5137679335514724,0.5051751592356688,49A
49B,0.5193314894540537,0.4234616666253192,Paul Rosenthal,DFL,Incumbent,1,2008,0.5280070601671598,0.5112971141008524,49B
4A,0.5788696874655153,0.5143239549920013,Ben Lien,DFL,Incumbent,1,2012,0.5834347297062402,0.5483202349080232,4A
4B,0.5588195202745245,0.4529470405565049,Paul Marquart,DFL,Incumbent,1,2000,0.6584258324924319,0.4845650140318054,4B
50A,0.6249988061724256,0.5807457785357828,Linda Slocum,DFL,Incumbent,1,2006,0.6472339758658517,0.6008554189261437,50A
50B,0.5707615985245624,0.4728056164082281,Chad Anderson,Republican,Incumbent,1,2016,0.6560156504727747,0.5396825396825397,50B
51A,0.5398025543661559,0.4831480348506216,Sandra Masin,DFL,Incumbent,1,2006,0.5146704464918498,0.5146987281951491,51A
51B,0.5174481073062138,0.47087541037469227,Laurie Halverson,DFL,Incumbent,1,2012,0.5108505425271264,0.49882068687798425,51B
52A,0.5911810940350848,0.5386170911563769,Rick Hansen,DFL,Incumbent,1,2004,0.5938411078717201,0.5478034647903979,52A
52B,0.5496054495116018,0.45804840652509304,Joe Atkins,DFL,Incumbent,1,2002,0.6447402938090241,0.48691268661539455,52B
53A,0.5725776817086701,0.5340932789837899,JoAnn Ward,DFL,Incumbent,1,2012,0.5836279198724613,0.5313663125126886,53A
53B,0.47393510490089186,0.43303575815147655,Kelly Fenton,Republican,Republican,0,2014,0.42960764919221894,0.44074336055559127,53B
54A,0.5620025080150477,0.5020084316520946,Dan Schoen,DFL,Incumbent,1,2012,0.5551878988418814,0.517399969339261,54A
54B,0.4934639791151047,0.4086935632854261,Denny McNamara,Republican,Incumbent,1,2002,0.39318927789934355,0.4652702702702703,54B
55A,0.45134073435387834,0.3783424790324752,Bob Loonan,Republican,Republican,0,2014,0.387625594923321,0.41985926505082094,55A
55B,0.3792025398072977,0.31534996037760454,Tony Albright,Republican,Incumbent,1,2012,0.35645256722109,0.3470393670147221,55B
56A,0.45614716325496407,0.39479535580150005,Drew Christensen,Republican,Republican,0,2014,0.4401190919240789,0.43335740072202167,56A
56B,0.478269603634337,0.41699537635210643,Roz Peterson,Republican,Republican,0,2014,0.4582875206157229,0.45484089370345293,56B
57A,0.4915872137687006,0.43144238936015267,Tara Mack,Republican,Incumbent,1,2008,0.4152198263791655,0.4734020618556701,57A
57B,0.47395556180757425,0.4107997067187197,Anna Wills,Republican,Incumbent,1,2012,0.41525205761316875,0.45763779527559056,57B
58A,0.41699021261037883,0.34865301543069105,Jon Koznick,Republican,Republican,0,2014,0.44634364876972915,0.3966302058563761,58A
58B,0.419878282446941,0.3592198739809309,Pat Garofalo,Republican,Incumbent,1,2004,0.36018411967779057,0.3948368036015757,58B
59A,0.8079425034646648,0.7947856256564834,Joe Mullery,DFL,Incumbent,1,1996,0.8198328690807799,0.7735665694849369,59A
59B,0.7751415104906147,0.7228633883332392,Raymond Dehn,DFL,Incumbent,1,2012,0.7809601008736378,0.7678464818763326,59B
5A,0.5305794454159664,0.48019739187509825,John Persell,DFL,Incumbent,1,2008,0.5515767344078486,0.4969333608986286,5A
5B,0.529055747352204,0.48153302840202283,Tom Anzelc,DFL,Incumbent,1,2006,0.5653682761921858,0.5101884117890261,5B
60A,0.7788203986079619,0.7396767764298093,Diane Loeffler,DFL,Incumbent,1,2004,0.8241980474198047,0.7508084074373484,60A
60B,0.7579041978002086,0.7043957537313754,Phyllis Kahn,DFL,Incumbent,1,1972,0.768886728245017,0.7557552967073282,60B
61A,0.8051641982862934,0.75675701996642,Frank Hornstein,DFL,Incumbent,1,2002,0.8078865248226951,0.7750953678474114,61A
61B,0.8058636318411925,0.7620585600936758,Paul Thissen,DFL,Incumbent,1,2002,0.8093564682626839,0.7723771580345286,61B
62A,0.8444823455715829,0.7949712280176322,Karen Clark,DFL,Incumbent,1,1980,0.8213003095975232,0.8224096385542169,62A
62B,0.860046868510529,0.8160160182610767,Susan Allen,DFL,Incumbent,1,2012,0.8866178172001543,0.8422297796835724,62B
63A,0.8319673183262677,0.7901361047357867,Jim Davnie,DFL,Incumbent,1,2000,0.8644077547028706,0.8134261838440111,63A
63B,0.7427286084806876,0.7184684614025125,Jean Wagenius,DFL,Incumbent,1,1986,0.7506332167410446,0.7226900584795322,63B
64A,0.7681492648113277,0.7142350843819316,Erin Murphy,DFL,Incumbent,1,2006,0.8121268082486919,0.7624411466714345,64A
64B,0.7051032182330488,0.6665908908333367,Dave Pinto,DFL,DFL,2,2014,0.7348960052822714,0.691297903874656,64B
65A,0.8025416682618479,0.7618367477307963,Rena Moran,DFL,Incumbent,1,2010,0.712013754566946,0.7915630182421227,65A
65B,0.7598557636936591,0.720752358062545,Carlos Mariani,DFL,Incumbent,1,1990,0.7754107239573931,0.7405782137325762,65B
66A,0.6654545008414079,0.6276141697850832,Alice Hausman,DFL,Incumbent,1,1989,0.6708570047141303,0.646465239073042,66A
66B,0.7641296498764572,0.7302271467116328,John Lesch,DFL,Incumbent,1,2002,0.7640680906429578,0.7376795123463168,66B
67A,0.7203267289119901,0.6867726756228627,Tim Mahoney,DFL,Incumbent,1,1998,0.7243460764587525,0.6774905831926225,67A
67B,0.7177022326505152,0.6848938769355097,Sheldon Johnson,DFL,Incumbent,1,2000,0.7282303370786517,0.6833915886796708,67B
6A,0.6601095333295941,0.6084874584004778,Carly Melin,DFL,Incumbent,1,2011,0.6938486193293886,0.6341627437794216,6A
6B,0.6311729846109491,0.559618145171503,Jason Metsa,DFL,Incumbent,1,2012,0.6410719322990127,0.6047924212872666,6B
7A,0.674928691885158,0.6444828956633188,Jennifer Schultz,DFL,DFL,2,2014,0.6211331918451347,0.6584417240499872,7A
7B,0.6909835755233522,0.6250744740508896,Erik Simonson,DFL,Incumbent,1,2012,0.7104668674698795,0.6681196896933875,7B
8A,0.4304479998114357,0.35747228250083224,Bud Nornes,Republican,Incumbent,1,1996,0.35221838469713074,0.39133302552602073,8A
8B,0.45463970222819405,0.3802153293377594,Mary Franson,Republican,Incumbent,1,2010,0.41364753323672104,0.3915934755332497,8B
9A,0.42180598432021876,0.357184932561709,Mark Anderson,Republican,Incumbent,1,2012,0.36015876274550057,0.3745036009961634,9A
9B,0.44657963684769836,0.3688492378008507,Ron Kresha,Republican,Incumbent,1,2012,0.4352587646076795,0.38964778358109015,9B
